Year,Month,DayofMonth,DayOfWeek,UniqueCarrier,TailNum,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,TaxiOut,TaxiIn,CRSArrTime,ArrTime,ArrDelay,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Weekday,ArrDelay_positive,ArrDelay_log,DecimalDepTime,speed
2019,2,12,2,YV,N959LR,5970,DFW,MAF,1825,1822.0,-3.0,18.0,3.0,1938,1933.0,-5.0,0.0,,0.0,73.0,71.0,50.0,309.0,,,,,,Tuesday,0.0,0.0,18.416666666666668,370.79999999999995
2019,3,13,3,OH,N516AE,5295,JFK,DCA,1715,1805.0,50.0,21.0,6.0,1844,1917.0,33.0,0.0,,0.0,89.0,72.0,45.0,213.0,0.0,0.0,0.0,0.0,33.0,Wednesday,33.0,3.5263605246161616,17.25,284.0
2019,8,31,6,WN,N8626B,335,LAS,OKC,955,953.0,-2.0,8.0,3.0,1420,1403.0,-17.0,0.0,,0.0,145.0,130.0,119.0,986.0,,,,,,Saturday,0.0,0.0,9.916666666666666,497.14285714285717
2019,8,30,5,YV,N912FJ,5730,PHX,IAH,1303,1302.0,-1.0,16.0,9.0,1746,1742.0,-4.0,0.0,,0.0,163.0,160.0,135.0,1009.0,,,,,,Friday,0.0,0.0,13.05,448.44444444444446
2019,2,23,6,AA,N669AW,480,SAN,PHX,1931,1949.0,18.0,20.0,7.0,2155,2203.0,8.0,0.0,,0.0,84.0,74.0,47.0,304.0,,,,,,Saturday,8.0,2.1972245773362196,19.516666666666666,388.0851063829787
2019,2,7,4,UA,N65832,655,IAD,BOS,1230,625.0,1075.0,14.0,3.0,1400,748.0,1068.0,0.0,,0.0,90.0,83.0,66.0,413.0,1068.0,0.0,0.0,0.0,0.0,Thursday,1068.0,6.974478911025045,12.5,375.4545454545455
2019,8,1,4,OO,N146SY,5697,SMF,SFO,1020,1118.0,58.0,20.0,4.0,1132,1217.0,45.0,0.0,,0.0,72.0,59.0,35.0,86.0,0.0,0.0,45.0,0.0,0.0,Thursday,45.0,3.828641396489095,10.333333333333334,147.42857142857144
2019,4,29,1,UA,N769UA,295,SFO,EWR,830,833.0,3.0,26.0,10.0,1659,1639.0,-20.0,0.0,,0.0,329.0,306.0,270.0,2565.0,,,,,,Monday,0.0,0.0,8.5,570.0
2019,7,13,6,YX,N864RW,3436,DCA,EWR,1155,1210.0,15.0,18.0,4.0,1310,1317.0,7.0,0.0,,0.0,75.0,67.0,45.0,199.0,,,,,,Saturday,7.0,2.0794415416798357,11.916666666666666,265.33333333333337
2019,11,8,5,EV,N25134,4250,IAH,MOB,1940,1940.0,0.0,12.0,4.0,2108,2056.0,-12.0,0.0,,0.0,88.0,76.0,60.0,427.0,,,,,,Friday,0.0,0.0,19.666666666666668,427.0
2019,10,11,5,UA,N453UA,1719,ORD,BNA,745,738.0,-7.0,17.0,11.0,927,923.0,-4.0,0.0,,0.0,102.0,105.0,77.0,409.0,,,,,,Friday,0.0,0.0,7.75,318.7012987012987
2019,12,12,4,G4,304NV,69,LAS,OAK,1940,1942.0,2.0,12.0,5.0,2111,2113.0,2.0,0.0,,0.0,91.0,91.0,74.0,407.0,,,,,,Thursday,2.0,1.0986122886681098,19.666666666666668,330.0
2019,7,7,7,YV,N927LR,5725,DFW,COS,1122,1117.0,-5.0,14.0,5.0,1220,1158.0,-22.0,0.0,,0.0,118.0,101.0,82.0,592.0,,,,,,Sunday,0.0,0.0,11.366666666666667,433.1707317073171
2019,10,25,5,WN,N7704B,4966,SDF,BWI,750,750.0,0.0,10.0,5.0,920,923.0,3.0,0.0,,0.0,90.0,93.0,78.0,495.0,,,,,,Friday,3.0,1.3862943611198906,7.833333333333333,380.7692307692308
2019,7,7,7,UA,N62894,785,CLE,ORD,1115,1153.0,38.0,21.0,16.0,1146,1230.0,44.0,0.0,,0.0,91.0,97.0,60.0,315.0,0.0,0.0,6.0,0.0,38.0,Sunday,44.0,3.8066624897703196,11.25,315.0
2019,9,15,7,F9,N335FR,239,BDL,DEN,1724,1712.0,-12.0,14.0,8.0,1955,1922.0,-33.0,0.0,,0.0,271.0,250.0,228.0,1671.0,,,,,,Sunday,0.0,0.0,17.4,439.7368421052631
2019,12,2,1,NK,N606NK,1272,TPA,CMH,1650,1656.0,6.0,16.0,5.0,1902,1917.0,15.0,0.0,,0.0,132.0,141.0,120.0,829.0,6.0,0.0,9.0,0.0,0.0,Monday,15.0,2.772588722239781,16.833333333333332,414.5
2019,3,22,5,AS,N309AS,537,ONT,SEA,940,1010.0,30.0,21.0,11.0,1225,1300.0,35.0,0.0,,0.0,165.0,170.0,138.0,956.0,0.0,0.0,5.0,0.0,30.0,Friday,35.0,3.58351893845611,9.666666666666666,415.65217391304344
2019,9,18,3,AS,N423AS,375,EWR,SFO,1735,1734.0,-1.0,26.0,5.0,2055,2043.0,-12.0,0.0,,0.0,380.0,369.0,338.0,2565.0,,,,,,Wednesday,0.0,0.0,17.583333333333332,455.32544378698225
2019,7,4,4,AA,N715UW,669,TPA,MIA,1735,1730.0,-5.0,13.0,7.0,1852,1833.0,-19.0,0.0,,0.0,77.0,63.0,43.0,204.0,,,,,,Thursday,0.0,0.0,17.583333333333332,284.6511627906977
2019,7,2,2,UA,N455UA,2051,TPA,SFO,710,707.0,-3.0,13.0,5.0,942,925.0,-17.0,0.0,,0.0,332.0,318.0,300.0,2393.0,,,,,,Tuesday,0.0,0.0,7.166666666666667,478.6
2019,3,12,2,MQ,N680AE,4033,ORD,RST,820,812.0,-8.0,17.0,4.0,933,923.0,-10.0,0.0,,0.0,73.0,71.0,50.0,268.0,,,,,,Tuesday,0.0,0.0,8.333333333333334,321.6
2019,12,24,2,WN,N250WN,6122,MCO,CMH,2040,2058.0,18.0,15.0,3.0,2255,2310.0,15.0,0.0,,0.0,135.0,132.0,114.0,802.0,15.0,0.0,0.0,0.0,0.0,Tuesday,15.0,2.772588722239781,20.666666666666668,422.10526315789474
2019,2,22,5,OO,N265SY,3779,ORD,LGA,1530,1600.0,30.0,25.0,5.0,1839,1902.0,23.0,0.0,,0.0,129.0,122.0,92.0,733.0,0.0,0.0,0.0,0.0,23.0,Friday,23.0,3.1780538303479458,15.5,478.04347826086956
2019,9,29,7,AA,N986AN,952,LAS,ORD,954,1020.0,26.0,22.0,19.0,1535,1556.0,21.0,0.0,,0.0,221.0,216.0,175.0,1514.0,0.0,0.0,0.0,0.0,21.0,Sunday,21.0,3.091042453358316,9.9,519.0857142857143
2019,6,14,5,AA,N117AN,3,JFK,LAX,1229,1223.0,-6.0,14.0,9.0,1524,1515.0,-9.0,0.0,,0.0,355.0,352.0,329.0,2475.0,,,,,,Friday,0.0,0.0,12.483333333333333,451.3677811550152
2019,7,15,1,WN,N451WN,1636,JAX,BWI,1135,1144.0,9.0,7.0,20.0,1320,1341.0,21.0,0.0,,0.0,105.0,117.0,90.0,663.0,0.0,0.0,12.0,0.0,9.0,Monday,21.0,3.091042453358316,11.583333333333334,442.0
2019,9,19,4,UA,N67845,1826,EWR,MCO,1000,959.0,-1.0,28.0,4.0,1244,1232.0,-12.0,0.0,,0.0,164.0,153.0,121.0,937.0,,,,,,Thursday,0.0,0.0,10.0,464.6280991735537
2019,12,10,2,MQ,N852AE,3744,JLN,ORD,1402,1440.0,38.0,12.0,12.0,1549,1614.0,25.0,0.0,,0.0,107.0,94.0,70.0,484.0,1.0,0.0,0.0,0.0,24.0,Tuesday,25.0,3.258096538021482,14.033333333333333,414.8571428571429
2019,1,30,3,DL,N848DN,2184,ABQ,ATL,605,559.0,-6.0,24.0,6.0,1105,1047.0,-18.0,0.0,,0.0,180.0,168.0,138.0,1269.0,,,,,,Wednesday,0.0,0.0,6.083333333333333,551.7391304347826
2019,2,6,3,WN,N240WN,1600,AUS,LBB,1505,1508.0,3.0,12.0,3.0,1620,1618.0,-2.0,0.0,,0.0,75.0,70.0,55.0,341.0,,,,,,Wednesday,0.0,0.0,15.083333333333334,372.0
2019,8,15,4,AA,N156UW,1576,DFW,FLL,1900,1928.0,28.0,14.0,7.0,2254,2322.0,28.0,0.0,,0.0,174.0,174.0,153.0,1119.0,28.0,0.0,0.0,0.0,0.0,Thursday,28.0,3.367295829986474,19.0,438.8235294117647
